koi_depth,koi_duration,koi_insol,koi_model_snr,koi_period,koi_prad,koi_slogg,koi_srad,koi_steff,koi_teq
220.5,6.3856,183.68,106.7,12.81590421,2.26,4.122,1.474,5788.0,939.0
655.9,2.75,101.78,24.8,6.54626149,2.19,4.581,0.817,5251.0,810.0
35.8,3.16,1777.13,12.1,1.33254024,0.59,4.511,0.887,6071.0,1658.0
270.9,2.6403,23.88,36.3,19.96367208,1.5,4.541,0.79,5250.0,564.0
106.7,6.82,239.82,10.7,4.20601251,0.82,4.518,0.79,5514.0,1004.0
818.0,2.4078,6831.52,36.9,8.58599537,39.03,2.605,13.941,4805.0,2319.0
98.1,3.382,36.82,17.2,19.5776073,0.9,4.449,0.925,5465.0,628.0
183.2,5.1691,11.67,11.6,34.205785079,1.1,4.53,0.826,5191.0,471.0
987.5,4.995,10.47,27.1,43.3167427,2.42,4.59,0.774,5654.0,459.0
797.9,7.9588,125.14,117.3,21.77568158,4.76,4.022,1.694,5900.0,853.0
271.8,4.885,251.55,16.4,10.30067919,2.2,4.224,1.33,6157.0,1015.0
136.4,3.747,10.34,27.5,27.4536146,0.95,4.602,0.741,4900.0,457.0
208362.0,8.0429,202.23,978.2,15.873380595,630.53,3.907,1.895,5622.0,962.0
1387.2,2.1801,9.12,57.4,10.91274065,2.13,4.708,0.539,3834.0,443.0
349.8,5.7351,278.67,23.7,7.38443269,2.42,4.269,1.248,5814.0,1042.0
98.5,1.663,965.03,8.9,1.70332915,0.86,4.547,0.864,5749.0,1420.0
255.5,3.567,221.46,15.5,7.01733571,1.61,4.456,0.967,6052.0,984.0
224.9,1.0273,84.65,20.6,5.60402307,1.25,4.581,0.737,4847.0,774.0
539.2,4.954,19.51,18.2,85.5692223,6.85,3.856,1.951,5361.0,536.0
1572.6,4.7865,9.29,45.5,36.2761238,3.03,4.562,0.787,5103.0,445.0
14230.9,1.74319,761.46,4304.3,2.470613377,13.04,4.457,0.964,5820.0,1339.0
256062.0,5.6831,270.76,4311.3,10.135401047,89.16,4.103,1.415,5895.0,1035.0
60.0,3.069,3351.24,8.8,2.25284817,8.61,4.196,1.53,6850.0,1940.0
178.2,2.9254,798.41,48.8,3.341799486,1.67,4.293,1.235,5873.0,1356.0
